,Unnamed: 0,time,instance_events_type,scheduling_class,collection_type,priority,instance_index,collections_events_type,vertical_scaling,scheduler,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,sample_rate,cluster,failed,offset,hours,hourBin,time_diff_hrs,eventIndex,resource_request_cpu,resource_request_memory,average_usage_cpu,average_usage_memory,maximum_usage_cpu,maximum_usage_memory,random_sample_usage_cpu,cpu_mean,cpu_std_dev,cpu_median,tail_cpu_mean,tail_cpu_std_dev,tail_cpu_median,Dataset,Epoch,learning_rate,Cost function,Window Size,Batch Size,Dropout,d_model,nhead,Train MAPE,Train RMSE,Train MASE,CV MAPE,CV RMSE,CV MASE,Test MAPE,Test RMSE,Test MASE,GPU Name,training-time,train-inference-time,cv-inference-time,test-inference-time
58,58.0,753695484479.0,3.0,0.0,0.0,0.0,3526.0,3.0,1.0,0.0,0.0,0.0,1e-06,1e-06,1.0,4.0,0.0,600000000.0,209.0,17.0,0.0033333333333333,3.0,0.0056686401367187,0.00262451171875,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,
59,59.0,1931126668014.0,3.0,1.0,0.0,0.4444444444444444,5225.0,3.0,1.0,0.0,0.0,1.811981201171875e-05,2.2549495697021484,0.0074991527944803,1.0,6.0,0.0,600000000.0,536.0,8.0,0.9966666666666666,3.0,0.0,0.0001649856567382,0.0001306533813476,0.0001497268676757,0.0006179809570312,0.000152587890625,0.0001211166381835,0.0001671530984181,0.0001461689722125,0.000116348267,0.00028642,0.0001026764890322,0.00025082,,,,,,,,,,,,,,,,,,,,,,,
60,60.0,639158665975.0,0.0,1.0,0.0,0.4444444444444444,17.0,0.0,2.0,0.0,0.0227175767918088,0.0,1e-06,1e-06,1.0,3.0,0.0,600000000.0,177.0,9.0,0.0,0.0,0.0011367797851562,0.0065078735351562,0.0,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,0.00081921,1.0842021724855044e-19,0.00081921,0.00081921,0.0,0.00081921,,,,,,,,,,,,,,,,,,,,,,,
61,61.0,1454577825391.0,6.0,0.0,0.0,0.2333333333333333,2823.0,6.0,2.0,1.0,0.0113587883959044,0.000258445739746,3.973978996276856,0.0164353270083665,1.0,3.0,0.0,600000000.0,403.0,19.0,0.9966666666666666,7.0,0.0066299438476562,0.0036849975585937,0.0002059936523437,0.001535415649414,0.0013847351074218,0.0016059875488281,0.000166893005371,0.0002916527272727,0.0003469586850723,0.00018311,0.0004002244444444,0.0002745813558901,0.00030231,,,,,,,,,,,,,,,,,,,,,,,
62,62.0,1454574816870.0,6.0,0.0,0.0,0.2333333333333333,7788.0,6.0,2.0,1.0,0.0113587883959044,0.000258445739746,3.973978996276856,0.0164353270083665,1.0,3.0,0.0,600000000.0,403.0,19.0,0.9966666666666666,7.0,0.0066299438476562,0.0036849975585937,0.0002059936523437,0.001535415649414,0.0013847351074218,0.0016059875488281,0.000166893005371,0.0002916527272727,0.0003469586850723,0.00018311,0.0004002244444444,0.0002745813558901,0.00030231,,,,,,,,,,,,,,,,,,,,,,,
63,63.0,1358903492344.0,0.0,3.0,0.0,0.4444444444444444,2402.0,0.0,1.0,0.0,0.0371160409556313,4.76837158203125e-06,0.5822352170944214,0.0020916981156915,1.0,6.0,0.0,600000000.0,377.0,17.0,0.9966666666666666,0.0,0.03521728515625,0.0106201171875,0.025421142578125,0.0078277587890625,0.0826416015625,0.008544921875,0.02349853515625,0.0261295481818181,0.015782163967361,0.02566528,0.0493774411111111,0.0035237478140924,0.04876709,,,,,,,,,,,,,,,,,,,,,,,
64,64.0,2001717236481.0,6.0,0.0,1.0,0.2577777777777778,913.0,6.0,2.0,1.0,0.0973762798634812,0.000554084777832,1e-06,1e-06,0.982300877571106,2.0,0.0,600000000.0,555.0,3.0,0.75,7.0,0.01873779296875,0.025665283203125,0.0143280029296875,0.002777099609375,0.066162109375,0.0027847290039062,0.0135040283203125,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
65,65.0,2044711439276.0,0.0,0.0,0.0,0.0,13631.0,0.0,1.0,0.0,0.0102655716723547,1.9073486328125e-06,0.9807948470115662,0.0052536348812282,0.996666669845581,8.0,0.0,600000000.0,567.0,15.0,0.9966666666666666,0.0,0.0056686401367187,0.00262451171875,0.0064544677734375,0.0023956298828125,0.0152130126953125,0.0027542114257812,0.0053176879882812,0.0066004663636363,0.0025261453084897,0.00631714,0.0099809433333333,0.001091771215584,0.00956726,,,,,,,,,,,,,,,,,,,,,,,
66,66.0,137640007395.0,6.0,0.0,1.0,0.2577777777777778,931.0,6.0,2.0,1.0,0.0175181313993172,0.0005407333374023,1e-06,1e-06,1.0,2.0,0.0,600000000.0,38.0,14.0,0.9966666666666666,7.0,0.01629638671875,0.0037307739257812,0.000518798828125,0.0026702880859375,0.0023345947265625,0.0026702880859375,0.0004920959472656,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
67,67.0,1911964985696.0,3.0,1.0,0.0,0.2644444444444444,599.0,3.0,2.0,0.0,0.017544795221843,6.389617919921875e-05,0.9118808507919312,0.0008780285716056,1.0,7.0,0.0,600000000.0,530.0,2.0,0.9966666666666666,3.0,0.0528564453125,0.00848388671875,0.037109375,0.0011634826660156,0.06195068359375,0.0016193389892578,0.0355224609375,0.0368055881818181,0.0129679533564039,0.03771973,0.05259196,0.0031059366332092,0.05224609,,,,,,,,,,,,,,,,,,,,,,,
