,Dataset,Epoch,learning_rate,Cost function,Window Size,Batch Size,Dropout,d_model,nhead,Train MAPE,Train RMSE,Train MASE,CV MAPE,CV RMSE,CV MASE,Test MAPE,Test RMSE,Test MASE,GPU Name,training-time,train-inference-time,cv-inference-time,test-inference-time,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,google,1000,0.01,mae,1,1024,0.4,128,8,602272.07,tensor([2.5777]),0.5580508845515452,594164.36,tensor([2.8870]),0.5634083344519407,433649.07,tensor([2.5218]),0.5756491989794456,nvidia-geforce-1650,32.302735805511475,0.005034208297729492,0.00600123405456543,0.005996227264404297,,,
1,google,1000,0.01,mae,1,512,0.4,128,8,602272.07,tensor([2.5777]),0.5580508845515452,594164.36,tensor([2.8870]),0.5634083344519407,433649.07,tensor([2.5218]),0.5756491989794456,nvidia-geforce-1650,42.389254093170166,0.0080163478851318,0.0076258182525634,0.0050294399261474,0.0,,
2,google,1000,0.01,mae,1,1024,0.4,128,8,602272.07,tensor([2.5777]),0.5580508845515452,594164.36,tensor([2.8870]),0.5634083344519407,433649.07,tensor([2.5218]),0.5756491989794456,nvidia-geforce-1650,40.53215146064758,0.0065293312072753,0.0076475143432617,0.0095541477203369,1.0,0.0,
3,google,1000,0.01,mae,1,1024,0.8,128,8,584802.64,tensor([2.5777]),0.5646610278315862,622111.96,tensor([2.8870]),0.5711873333901698,515928.86,tensor([2.5218]),0.5801104244167008,nvidia-geforce-1650,48.30734062194824,0.0063297748565673,0.0074949264526367,0.0085065364837646,2.0,1.0,0.0
