,Dataset,Epoch,learning_rate,Cost function,Window Size,Batch Size,Dropout,d_model,nhead,Train MAPE,Train RMSE,Train MASE,CV MAPE,CV RMSE,CV MASE,Test MAPE,Test RMSE,Test MASE,GPU Name,training-time,train-inference-time,cv-inference-time,test-inference-time,Unnamed: 0.1,Unnamed: 0
0,google_20000,1000,0.001,mae,1,64,0.4,128,4,12954.88,tensor([3.2251]),0.6761702901798325,16163.24,tensor([3.0086]),0.6808360137167584,16153.01,tensor([2.7888]),0.6912716769389746,nvidia-geforce-1650,13098.162128686905,1.604069709777832,0.5132191181182861,0.4959259033203125,,
1,google_20000,1000,0.001,mae,1,64,0.5,128,4,12509.31,tensor([3.2251]),0.7022654492134026,14871.04,tensor([3.0086]),0.7006541698930753,14877.8,tensor([2.7888]),0.7057756308561371,nvidia-geforce-1650,11608.23549246788,3.238687038421631,0.4864339828491211,0.4864723682403564,0.0,
2,google_20000,1000,0.001,mae,1,64,0.5,64,4,13669.06,tensor([3.2251]),0.698822327764488,15582.62,tensor([3.0086]),0.694260450004045,15791.78,tensor([2.7888]),0.7022973661858681,nvidia-geforce-1650,12623.5074801445,1.6241133213043213,0.5659604072570801,0.5853939056396484,1.0,0.0
